Code,Text_Weather,Simple_Weather,Alpha,Color
0,No weather,,0,white
1,LoProb R,Rain,0.25,green
2,LoProb R-,Rain,0.25,green
3,LoProb R+,Rain,0.25,green
4,LoProb RW,Rain,0.25,green
5,LoProb RW-,Rain,0.25,green
6,LoProb RW+,Rain,0.25,green
7,LoProb L,Rain,0.25,green
8,LoProb L-,Rain,0.25,green
9,LoProb L+,Rain,0.25,green
10,LoProb ZL,Ice,0.25,cyan
11,LoProb ZL-,Ice,0.25,cyan
12,LoProb ZL+,Ice,0.25,cyan
13,LoProb ZR,Ice,0.25,cyan
14,LoProb ZR-,Ice,0.25,cyan
15,LoProb ZR+,Ice,0.25,cyan
16,LoProb IP,Ice,0.25,cyan
17,LoProb IP-,Ice,0.25,cyan
18,LoProb IP+,Ice,0.25,cyan
19,LoProb SW,Snow,0.25,dodgerblue
20,LoProb SW-,Snow,0.25,dodgerblue
21,LoProb SW+,Snow,0.25,dodgerblue
22,LoProb S,Snow,0.25,dodgerblue
23,LoProb S-,Snow,0.25,dodgerblue
24,LoProb S+,Snow,0.25,dodgerblue
25,LoProb T,Rain,0.25,green
26,LoProb T-,Rain,0.25,green
27,LoProb T+,Severe,0.25,red
28,Fog,Fog,0.76,yellow
29,Fog,Fog,0.76,yellow
30,Dense Fog,Fog,0.76,yellow
31,Smoke,Smoke,0.76,peru
32,Blowing Snow,Blowing,0,white
33,Blowing Dust,Blowing,0,white
34,Freezing Fog,Fog,0.76,yellow
35,Ice Fog,Fog,0.76,yellow
36,Ice Crystals,,0,white
37,Blowing Sand,Blowing,0,white
38,Freezing Spray,,0,white
39,Volcanic Ash,Smoke,0.76,lightgrey
40,Water Spouts,,0,white
41,Haze,Haze,0.76,khaki
42,MISSING,MISSING,0,white
43,MISSING,MISSING,0,white
44,MISSING,MISSING,0,white
45,MISSING,MISSING,0,white
46,MISSING,MISSING,0,white
47,MISSING,MISSING,0,white
48,MISSING,MISSING,0,white
49,MISSING,MISSING,0,white
50,MISSING,MISSING,0,white
51,MISSING,MISSING,0,white
52,MISSING,MISSING,0,white
53,MISSING,MISSING,0,white
54,MISSING,MISSING,0,white
55,MISSING,MISSING,0,white
56,MISSING,MISSING,0,white
57,MISSING,MISSING,0,white
58,MISSING,MISSING,0,white
59,MISSING,MISSING,0,white
60,MISSING,MISSING,0,white
61,MISSING,MISSING,0,white
62,MISSING,MISSING,0,white
63,MISSING,MISSING,0,white
64,MISSING,MISSING,0,white
65,MISSING,MISSING,0,white
66,MISSING,MISSING,0,white
67,MISSING,MISSING,0,white
68,MISSING,MISSING,0,white
69,MISSING,MISSING,0,white
70,MISSING,MISSING,0,white
71,MISSING,MISSING,0,white
72,MISSING,MISSING,0,white
73,MISSING,MISSING,0,white
74,MISSING,MISSING,0,white
75,MISSING,MISSING,0,white
76,MISSING,MISSING,0,white
77,MISSING,MISSING,0,white
78,MISSING,MISSING,0,white
79,MISSING,MISSING,0,white
80,MISSING,MISSING,0,white
81,MISSING,MISSING,0,white
82,MISSING,MISSING,0,white
83,MISSING,MISSING,0,white
84,MISSING,MISSING,0,white
85,MISSING,MISSING,0,white
86,MISSING,MISSING,0,white
87,MISSING,MISSING,0,white
88,MISSING,MISSING,0,white
89,MISSING,MISSING,0,white
90,MISSING,MISSING,0,white
91,MISSING,MISSING,0,white
92,MISSING,MISSING,0,white
93,MISSING,MISSING,0,white
94,MISSING,MISSING,0,white
95,MISSING,MISSING,0,white
96,MISSING,MISSING,0,white
97,MISSING,MISSING,0,white
98,MISSING,MISSING,0,white
99,MISSING,MISSING,0,white
100,LoProb R/R,Rain,0.25,green
101,LoProb R-/R,Rain,0.25,green
102,LoProb R+/R,Rain,0.25,green
103,LoProb R/R-,Rain,0.25,green
104,LoProb R-/R-,Rain,0.25,green
105,LoProb R+/R-,Rain,0.25,green
106,LoProb R/R+,Rain,0.25,green
107,LoProb R-/R+,Rain,0.25,green
108,LoProb R+/R+,Rain,0.25,green
109,MISSING,MISSING,0,white
110,LoProb R/RW,Rain,0.25,green
