event,priority,color
Tsunami Warning,1,#FD6347
Tornado Warning,2,#FF0000
Extreme Wind Warning,3,#FF8C00
Severe Thunderstorm Warning,4,#FFA500
Flash Flood Warning,5,#8B0000
Flash Flood Statement,6,#8B0000
Severe Weather Statement,7,#00FFFF
Shelter In Place Warning,8,#FA8072
Evacuation Immediate,9,#7FFF00
Civil Danger Warning,10,#FFB6C1
Nuclear Power Plant Warning,11,#4B0082
Radiological Hazard Warning,12,#4B0082
Hazardous Materials Warning,13,#4B0082
Fire Warning,14,#A0522D
Civil Emergency Message,15,#FFB6C1
Law Enforcement Warning,16,#C0C0C0
Storm Surge Warning,17,#B524F7
Hurricane Force Wind Warning,18,#CD5C5C
Hurricane Warning,19,#DC143C
Typhoon Warning,20,#DC143C
Special Marine Warning,21,#FFA500
Blizzard Warning,22,#FF4500
Snow Squall Warning,23,#C71585
Ice Storm Warning,24,#8B008B
Heavy Freezing Spray Warning,25,#00BFFF
Winter Storm Warning,26,#FF69B4
Lake Effect Snow Warning,27,#008B8B
Dust Storm Warning,28,#FFE4C4
Blowing Dust Warning,29,#FFE4C4
High Wind Warning,30,#DAA520
Tropical Storm Warning,31,#B22222
Storm Warning,32,#9400D3
Tsunami Advisory,33,#D2691E
Tsunami Watch,34,#FF00FF
Avalanche Warning,35,#1E90FF
Earthquake Warning,36,#8B4513
Volcano Warning,37,#2F4F4F
Ashfall Warning,38,#A9A9A9
Flood Warning,39,#00FF00
Coastal Flood Warning,40,#228B22
Lakeshore Flood Warning,41,#228B22
Ashfall Advisory,42,#696969
High Surf Warning,43,#228B22
Extreme Heat Warning,44,#C71585
Tornado Watch,45,#FFFF00
Severe Thunderstorm Watch,46,#DB7093
Flash Flood Watch,47,#2E8B57
Gale Warning,48,#DDA0DD
Flood Statement,49,#00FF00
Extreme Cold Warning,50,#0000FF
Freeze Warning,51,#483D8B
Red Flag Warning,52,#FF1493
Storm Surge Watch,53,#DB7FF7
Hurricane Watch,54,#FF00FF
Hurricane Force Wind Watch,55,#9932CC
Typhoon Watch,56,#FF00FF
Tropical Storm Watch,57,#F08080
Storm Watch,58,#FFE4B5
Tropical Cyclone Local Statement,59,#FFE4B5
Winter Weather Advisory,60,#7B68EE
Avalanche Advisory,61,#CD853F
Cold Weather Advisory,62,#AFEEEE
Heat Advisory,63,#FF7F50
Flood Advisory,64,#00FF7F
Coastal Flood Advisory,65,#7CFC00
Lakeshore Flood Advisory,66,#7CFC00
High Surf Advisory,67,#BA55D3
Dense Fog Advisory,68,#708090
Dense Smoke Advisory,69,#F0E68C
Small Craft Advisory,70,#D8BFD8
Brisk Wind Advisory,71,#D8BFD8
Hazardous Seas Warning,72,#D8BFD8
Dust Advisory,73,#BDB76B
Blowing Dust Advisory,74,#BDB76B
Lake Wind Advisory,75,#D2B48C
Wind Advisory,76,#D2B48C
Frost Advisory,77,#6495ED
Freezing Fog Advisory,78,#008080
Freezing Spray Advisory,79,#00BFFF
Low Water Advisory,80,#A52A2A
Local Area Emergency,81,#C0C0C0
Winter Storm Watch,82,#4682B4
Rip Current Statement,83,#40E0D0
Beach Hazards Statement,84,#40E0D0
Gale Watch,85,#FFC0CB
Avalanche Watch,86,#F4A460
Hazardous Seas Watch,87,#483D8B
Heavy Freezing Spray Watch,88,#BC8F8F
Flood Watch,89,#2E8B57
Coastal Flood Watch,90,#66CDAA
Lakeshore Flood Watch,91,#66CDAA
High Wind Watch,92,#B8860B
Extreme Heat Watch,93,#800000
Extreme Cold Watch,94,#5F9EA0
Freeze Watch,95,#00FFFF
Fire Weather Watch,96,#FFDEAD
Extreme Fire Danger,97,#E9967A
911 Telephone Outage,98,#C0C0C0
Coastal Flood Statement,99,#6B8E23
Lakeshore Flood Statement,100,#6B8E23
Special Weather Statement,101,#FFE4B5
Marine Weather Statement,102,#FFDAB9
Air Quality Alert,103,#808080
Air Stagnation Advisory,104,#808080
Hazardous Weather Outlook,105,#EEE8AA
Hydrologic Outlook,106,#90EE90
Short Term Forecast,107,#98FB98
Administrative Message,108,#C0C0C0
Test,109,#F0FFFF
Child Abduction Emergency,110,#FFFFFF
Blue Alert,111,#FFFFFF
